"district","LID","sen_slope","sen_signif","n_lakes"
"Napier (Hawke's Bay)","35662",0.42213298780743,0.0476039547278715,16
"Napier (Hawke's Bay)","36096",0.304687482670584,0.602167527748196,16
"Napier (Hawke's Bay)","36215",0.275186269093722,0.602167527748196,16
"Napier (Hawke's Bay)","36285",0.0908555739163125,0.602167527748196,16
"Napier (Hawke's Bay)","36314",0.294052363668582,0.251452186508022,16
"Napier (Hawke's Bay)","36315",0.0285640967423639,0.916965236628864,16
"Napier (Hawke's Bay)","36979",0.514697888967501,0.0763327403763572,16
"Napier (Hawke's Bay)","36980",0.233742557476091,0.465512169874187,16
"Napier (Hawke's Bay)","36981",0.266819117203043,0.754454177494089,16
"Napier (Hawke's Bay)","37529",0.2740903118831,0.251452186508022,16
"Napier (Hawke's Bay)","37530",0.232168867219129,0.117850895021365,16
"Napier (Hawke's Bay)","37534",0.700330320073378,0.0164886567276701,16
"Napier (Hawke's Bay)","40307",0.693623337975176,0.117850895021365,16
"Nelson (Nelson)","24754",-0.150530920945277,0.602167527748196,28
"Nelson (Nelson)","24755",0.147587976803671,0.916965236628864,28
"Nelson (Nelson)","24795",-0.14853951964706,0.754454177494089,28
"Nelson (Nelson)","24827",0.429955376390217,0.536186771900174,28
"Nelson (Nelson)","24846",0.291374700387113,0.465512169874187,28
"Nelson (Nelson)","24869",1.3827092139162,0.173546221787853,28
"Nelson (Nelson)","24916",0.449385540185488,0.0763327403763572,28
"Nelson (Nelson)","24927",0.0920672267919107,0.754454177494089,28
"Nelson (Nelson)","24947",0.182100250404506,0.465512169874187,28
"Nelson (Nelson)","24949",0.14084757296322,0.916965236628864,28
"Nelson (Nelson)","24954",0.414740749696216,0.602167527748196,28
"Nelson (Nelson)","24955",0.69565572168142,0.0476039547278715,28
"Nelson (Nelson)","24960",0.429847518181938,0.175308080808274,28
"Nelson (Nelson)","24969",0.139604290240652,0.754454177494089,28
"Nelson (Nelson)","24971",0.22144183042236,0.465512169874187,28
"Nelson (Nelson)","24995",0.283517642618955,0.602167527748196,28
"Nelson (Nelson)","25002",0.0621536701759812,0.916965236628864,28
"Nelson (Nelson)","25008",0.40146630203524,0.348082623632924,28
"Nelson (Nelson)","25016",-0.250008627005694,0.251452186508022,28
"Nelson (Nelson)","25023",0.19082559907996,0.465512169874187,28
"Nelson (Nelson)","25024",0.132089701706909,0.602167527748196,28
"Nelson (Nelson)","25044",0.11217874318135,0.175308080808274,28
"Nelson (Nelson)","25519",-0.0271077629343642,0.916965236628864,28
"Nelson (Nelson)","25765",-0.204741047521782,0.465512169874187,28
"Nelson (Nelson)","25789",-0.0959672522492809,0.602167527748196,28
"Nelson (Nelson)","25790",0.204718906815153,0.465512169874187,28
"Nelson (Nelson)","27762",0.32158252892169,0.348082623632924,28
"Nelson (Nelson)","28162",0.182995539450686,0.251452186508022,28
"New Plymouth (Taranaki)","16325",0.480135600299237,0.251452186508022,5
"New Plymouth (Taranaki)","16392",0.573816567231698,0.00487856447503363,5
"New Plymouth (Taranaki)","20880",0.181428702322735,0.251452186508022,5
"New Plymouth (Taranaki)","20904",0.307696369396894,0.251452186508022,5
"New Plymouth (Taranaki)","7512",0.258700573218303,0.465512169874187,5
"Queenstown (Otago)","50704",0.593289477619703,0.465512169874187,31
"Queenstown (Otago)","52115",-0.308996112845079,0.465512169874187,31
"Queenstown (Otago)","53145",0.00209991992126191,0.916965236628864,31
"Queenstown (Otago)","53202",-0.572796068015632,0.117850895021365,31
"Queenstown (Otago)","53300",0.649301666188555,0.028567681801513,31
"Queenstown (Otago)","53304",0.255553940183635,0.348082623632924,31
"Queenstown (Otago)","53306",-0.272255758586199,0.602167527748196,31
"Queenstown (Otago)","53338",0.062598318053264,0.754454177494089,31
"Queenstown (Otago)","53353",0.125405868247154,0.754454177494089,31
"Queenstown (Otago)","53392",-0.117442923100824,0.602167527748196,31
"Queenstown (Otago)","53532",-0.0546399592345525,0.754454177494089,31
"Queenstown (Otago)","53545",0.179903646788431,0.916965236628864,31
"Queenstown (Otago)","53548",-0.0594806509687598,0.754454177494089,31
"Queenstown (Otago)","53549",-0.0490194268654635,1,31
"Queenstown (Otago)","53707",0.145484404127106,0.754454177494089,31
"Queenstown (Otago)","53730",0.204882442993935,0.465512169874187,31
"Queenstown (Otago)","54035",-0.640812435558637,0.251452186508022,31
"Queenstown (Otago)","54038",-0.591467466885557,0.175308080808274,31
"Queenstown (Otago)","54039",-0.291502407173997,0.710523022916489,31
"Queenstown (Otago)","54190",-0.0614203900583491,0.754454177494089,31
"Queenstown (Otago)","54255",-0.341036544115161,0.0164886567276701,31
"Queenstown (Otago)","54309",-0.468449303821105,0.348082623632924,31
"Queenstown (Otago)","54737",0.23241606484763,0.348082623632924,31
"Queenstown (Otago)","7633",0.293990499646198,0.754454177494089,31
"Queenstown (Otago)","7657",-0.269089749449603,0.465512169874187,31
"Queenstown (Otago)","7660",-0.196701078998278,0.348082623632924,31
"Queenstown (Otago)","7688",0.494587321675091,0.117850895021365,31
"Queenstown (Otago)","7689",0.306378314377914,0.465512169874187,31
"Queenstown (Otago)","7748",0.0925442512743254,0.916965236628864,31
"Queenstown (Otago)","7901",-0.11763146913612,0.754454177494089,31
"Queenstown (Otago)","8138",0.384620626241701,0.386476230771233,31
"Reefton (West Coast)","24734",0.42235666575958,0.251452186508022,37
"Reefton (West Coast)","24742",0.0169252959827912,0.916965236628864,37
"Reefton (West Coast)","24750",0.336666300445652,0.348082623632924,37
"Reefton (West Coast)","24805",0.00383171271298285,1,37
"Reefton (West Coast)","24806",0.130175957107831,0.916965236628864,37
"Reefton (West Coast)","25193",-0.219987569665314,0.251452186508022,37
"Reefton (West Coast)","25212",0.291343189520035,0.251452186508022,37
"Reefton (West Coast)","26277",0.214879477920339,0.465512169874187,37
"Reefton (West Coast)","26348",-0.0579814860191524,0.465512169874187,37
"Reefton (West Coast)","26357",0.423499407456901,0.348082623632924,37
"Reefton (West Coast)","26477",0.296102632002059,0.0763327403763572,37
"Reefton (West Coast)","26478",0.921511680205799,0.107762290391921,37
"Reefton (West Coast)","26484",-0.41809236735433,0.465512169874187,37
"Reefton (West Coast)","26514",0.000105009774459515,1,37
"Reefton (West Coast)","26515",-0.357936337178043,0.175308080808274,37
"Reefton (West Coast)","26887",-0.235924811377219,0.251452186508022,37
"Reefton (West Coast)","26896",0.631954915833589,0.0763327403763572,37
"Reefton (West Coast)","27560",1.2544146636755,0.117850895021365,37
"Reefton (West Coast)","27564",0.040046714170195,1,37
